MariaDB [(none)]> CREATE DATABASE szkola
    -> ;
Query OK, 1 row affected (0.01 sec)

MariaDB [(none)]> USE szkola
Database changed

MariaDB [szkola]> SOURCE uczniowie.txt
Query OK, 0 rows affected (0.16 sec)

Query OK, 652 rows affected (0.11 sec)
Records: 652  Duplicates: 0  Warnings: 0

MariaDB [szkola]> SHOW TABLES
    -> ;
+------------------+
| Tables_in_szkola |
+------------------+
| uczniowie        |
+------------------+
1 row in set (0.00 sec)

MariaDB [szkola]> SELECT * FROM uczniowie
    -> ;
+-------+------------+-----------------+------------+--------+-------------+-----------+-----------+--------+--------+----------+------------+
| nr    | imie       | nazwisko        | matematyka | fizyka | informatyka | angielski | geografia | chemia | polski | historia | wychowawca |
| 13798 | Norbert    | Borek           |        5.1 |    2.3 |           5 |       5.7 |       2.7 |    4.1 |      3 |      2.3 | Sek        |
| 13799 | Izabela    | Anielski        |        1.8 |    5.4 |         2.8 |       3.9 |       2.8 |    4.5 |    2.5 |      1.4 | sliwa      |
| 13800 | Aleksandra | Niechcial       |        5.8 |    4.3 |         1.2 |       1.3 |       2.1 |    1.1 |    4.8 |      4.2 | Broda      |
| 13801 | Jan        | zelazny         |        5.3 |    1.8 |         3.2 |       1.1 |       2.5 |    4.7 |    3.5 |      4.5 | Broda      |
| 13802 | Wiktor     | Banas           |        1.9 |    4.4 |         4.1 |       3.1 |       5.1 |    3.2 |    3.7 |        6 | Komar      |
| 13803 | Janusz     | zelazny         |        1.5 |    2.7 |         5.6 |       1.5 |       4.4 |    2.3 |    5.9 |      4.1 | Stalone    |
| 13804 | Stefan     | Kabaj           |        3.9 |    1.4 |         3.6 |       5.3 |       4.4 |    5.3 |    5.4 |      3.8 | Kot        |
| 13805 | Zygmunt    | Nowak           |        5.6 |    2.3 |         5.3 |       3.7 |       1.1 |    5.5 |    4.7 |      4.5 | Jakubowski |
| 13806 | Alina      | Siwy            |        3.3 |    4.7 |           5 |         4 |       2.8 |    3.9 |    5.9 |      4.8 | Koba       |
| 13807 | Monika     | Czarnek         |        5.6 |    1.9 |         3.6 |         4 |       2.7 |      3 |    5.6 |      1.4 | Armatys    |
| 13808 | Jan        | Czarnek         |        1.1 |    3.6 |         3.5 |       1.5 |       5.8 |    5.1 |    4.2 |      1.5 | Kret       |
| 13809 | Jan        | Zagrodzki       |        5.1 |    1.3 |         2.4 |       3.1 |       3.7 |    2.6 |    4.3 |      1.1 | Koza       |
| 13810 | Feliks     | Bialy           |        4.8 |    3.6 |         5.2 |       5.3 |       1.4 |    3.4 |    3.4 |      5.2 | zbik       |
| 13811 | Cecylia    | Chrusciel       |          2 |    4.4 |         4.9 |       1.6 |       5.1 |    2.5 |    1.9 |      1.6 | Molenda    |
| 13812 | Iwona      | Madej           |        4.4 |    2.9 |         4.3 |       4.7 |       3.2 |    5.1 |    5.4 |      2.6 | Baran      |
| 13813 | Zygmunt    | Kot             |        5.9 |      6 |           6 |       5.9 |         6 |    5.7 |      5 |        5 | Wegier     |
| 13814 | Michal     | Roczniak        |        2.8 |    5.1 |         1.9 |       2.9 |       5.6 |    2.3 |    3.1 |      2.2 | Stalone    |
| 13815 | Witold     | Piatkowski      |          3 |    2.5 |         5.9 |       1.5 |       3.1 |    3.4 |    1.3 |      1.8 | Agat       |
| 13816 | Maciej     | Zagrodzki       |          2 |      5 |         3.8 |       2.4 |       3.6 |    1.7 |    3.3 |      1.6 | Bialy      |
| 13817 | Piotr      | Siemieszko      |        2.3 |    2.9 |         2.1 |       2.9 |       3.3 |    1.5 |    2.1 |      4.1 | zbik       |
| 13818 | Justyna    | Wlodarczyk      |        1.3 |    5.3 |         1.9 |         4 |       1.1 |    2.6 |    4.5 |        2 | Ospala     |
| 13819 | Ewa        | Belczyk         |        5.5 |    5.6 |         3.4 |       2.1 |       1.3 |    4.5 |    2.8 |      2.9 | Sek        |
| 13820 | Marcin     | Czarnek         |        1.5 |    1.6 |         4.9 |         2 |       5.6 |    3.8 |    3.8 |      3.6 | Baj        |
| 13821 | Tomasz     | Chrusciel       |        1.8 |    5.6 |         1.1 |       3.9 |       1.2 |    4.6 |    2.7 |      2.9 | Wilk       |
| 13822 | Maciej     | Niemiec         |        1.4 |      6 |         4.6 |       2.9 |       5.2 |    5.5 |      1 |      1.5 | Muryn      |
| 13823 | Michal     | Gadek           |        3.1 |      5 |         5.9 |       3.4 |         5 |    1.8 |    3.2 |      2.7 | Molenda    |
| 13824 | Maciej     | Lencznarowicz   |        2.7 |    1.1 |         4.1 |       2.9 |       1.1 |    1.5 |    1.4 |      2.4 | Jung       |
| 13825 | Michal     | Czarnek         |        4.8 |    4.6 |         2.4 |       1.1 |       3.5 |    4.5 |    3.3 |      2.5 | Molenda    |
| 13826 | Przemyslaw | Siemieszko      |        2.6 |    1.1 |         4.4 |       3.2 |       1.2 |      4 |    5.2 |      1.1 | Niemiec    |
| 13827 | Krystyna   | Kalita          |        3.1 |    1.5 |         2.6 |       4.5 |         4 |    5.1 |    2.5 |        6 | Samson     |
| 13828 | Jan        | Witkowski       |        3.1 |    1.4 |         1.9 |       5.6 |       4.5 |    1.7 |    1.4 |      4.1 | Sek        |
| 13829 | Alina      | Wronka          |          6 |    3.3 |         3.4 |       4.8 |       1.2 |    2.9 |    5.7 |      2.3 | Pies       |
| 13830 | Iwona      | Kot             |        1.1 |    5.1 |         5.8 |       5.6 |       5.3 |    4.1 |    5.4 |      5.1 | Bialy      |
| 13831 | Cecylia    | Slomski         |        2.5 |    3.4 |         1.3 |         5 |       4.7 |    2.5 |    5.2 |      1.8 | Zieba      |
| 13832 | Janusz     | Swiatek         |        2.8 |    2.5 |         1.8 |       2.5 |       3.2 |    5.3 |    5.6 |      3.4 | Jakubowski |
| 13833 | Feliks     | Wierzbicki      |          3 |    3.9 |         2.8 |       2.7 |       3.8 |    1.3 |      3 |      2.7 | Armatys    |
| 13834 | Barbara    | Siwy            |        5.3 |      2 |         5.9 |       5.2 |       4.6 |    3.2 |    2.9 |        5 | sliwa      |
| 13835 | Zygmunt    | Bialy           |        4.3 |    3.9 |         2.1 |         6 |       4.2 |    3.7 |    4.4 |      4.2 | Jung       |
| 13836 | Krzysztof  | Malec           |        3.2 |    5.7 |         2.2 |       4.2 |       2.6 |    5.2 |    4.7 |      5.4 | sliwa      |
| 13837 | Miroslawa  | Siemieszko      |        4.8 |    5.9 |         1.9 |       3.7 |       1.1 |    1.1 |    1.9 |      1.9 | Jasiek     |
| 13838 | Iwona      | Szefer          |        2.1 |    3.9 |         5.1 |       4.4 |       1.3 |    4.4 |    3.2 |        5 | zbik       |
| 13839 | Barbara    | Bialy           |        1.9 |    3.6 |         2.2 |       2.9 |       4.9 |    5.3 |    4.1 |      5.7 | Zdanowicz  |
| 13840 | Alina      | Kot             |          4 |    4.8 |         3.7 |       2.1 |         5 |    4.9 |    5.3 |      5.6 | Piwko      |
| 13841 | Stefan     | Majsak          |        1.8 |    4.5 |         5.5 |       2.4 |       3.2 |      5 |    1.5 |      5.7 | Sek        |
| 13842 | Janusz     | Krupa           |        3.4 |    2.2 |         4.6 |       5.1 |       1.9 |    3.4 |    5.7 |      3.7 | Grodecki   |
| 13843 | Jan        | Lumielski       |        4.2 |    2.3 |         1.7 |       1.4 |       4.1 |    2.4 |    3.5 |      3.7 | Piwko      |
| 13844 | Anna       | Szostak         |        5.6 |    4.6 |         4.7 |       1.5 |       3.7 |    2.7 |      3 |      1.7 | Zawada     |
| 13845 | Slawa      | Marek           |        1.2 |    3.1 |         5.4 |       5.9 |       5.6 |    2.3 |    3.4 |      5.7 | Godowski   |
| 13846 | Marcelina  | Marek           |        5.1 |    2.1 |         2.1 |       4.2 |       4.9 |    3.8 |    3.8 |        6 | Jung       |
| 13847 | Anna       | Kolodziejczyk   |        1.6 |    1.5 |         2.6 |       2.9 |       1.7 |    2.3 |    1.5 |      1.8 | Maciarz    |
| 13848 | Anna       | Szczesna        |        4.2 |    2.3 |         2.2 |       3.8 |       1.3 |    4.4 |    2.2 |      4.9 | Kret       |
| 13849 | Maciej     | Sliwa           |        1.6 |    5.8 |           3 |         5 |       4.9 |    4.1 |    5.3 |      1.9 | Wegier     |
| 13850 | Dorota     | Kot             |        3.8 |    5.3 |         4.6 |       4.1 |       5.9 |    5.9 |    1.6 |      5.2 | Muryn      |
| 13851 | Jaroslaw   | Marek           |        5.4 |    5.2 |         4.5 |         4 |       3.6 |    1.5 |    4.1 |      3.3 | Stalone    |
| 13852 | Michal     | Zagrodzki       |        3.9 |    4.4 |         1.8 |       1.6 |       3.3 |    1.4 |    5.6 |      2.9 | Niemiec    |
| 13853 | Marcin     | Zieba           |        5.6 |    1.1 |         2.2 |       5.2 |       4.5 |    5.6 |    5.2 |      2.7 | Molenda    |
| 13854 | Michalina  | Mateszew        |        4.6 |    1.5 |         4.4 |       3.2 |       3.8 |    2.5 |    2.3 |      3.1 | Siema      |
| 13855 | Anna       | Bros            |        5.9 |    1.6 |         3.4 |       5.9 |       1.6 |    5.1 |    5.2 |      4.9 | Jakubowski |
| 13856 | Cecylia    | Szczesna        |        5.5 |      2 |         2.2 |       1.6 |       1.2 |    5.2 |    3.3 |      4.9 | Baj        |
| 13857 | Krzysztof  | Kot             |        3.8 |      6 |         3.7 |       4.6 |       4.2 |    3.5 |    5.8 |      5.4 | Bialy      |
| 13858 | Barbara    | Policht         |        1.6 |    5.4 |         4.4 |       4.8 |       3.9 |    3.2 |      2 |      2.7 | Kowal      |
| 13859 | Miroslawa  | Kulaj           |          5 |    4.3 |         5.1 |       1.6 |       4.9 |    4.3 |    1.9 |        3 | sliwa      |
| 13860 | Jan        | Bialy           |        2.6 |    5.2 |         5.4 |       2.7 |       5.4 |    3.4 |    3.5 |      2.6 | Rusek      |
| 13861 | Iwona      | Taczuk          |        1.7 |    3.7 |         5.4 |       5.4 |       2.8 |    5.8 |    2.4 |        1 | Gruszka    |
| 13862 | Jan        | Czarnek         |        5.6 |      5 |         1.3 |       2.1 |       4.5 |    3.6 |    3.8 |      1.5 | Godowski   |
| 13863 | Boleslaw   | Marek           |        4.7 |    2.5 |         3.1 |       4.4 |       5.3 |    5.3 |      4 |        3 | Sewiolo    |
| 13864 | Feliks     | lapka           |        1.3 |    5.1 |         1.1 |       4.3 |       5.8 |    2.3 |    5.5 |      4.9 | Komar      |
| 13865 | Zygmunt    | Szczesny        |        2.1 |    1.4 |         5.8 |       5.8 |       2.2 |      2 |    1.6 |      4.7 | Komar      |
| 13866 | Zygmunt    | Chrusciel       |        2.9 |    1.4 |         1.7 |       3.2 |       3.3 |    5.4 |    4.6 |      2.4 | Koza       |
| 13867 | Stefan     | Kot             |        5.4 |    5.1 |           6 |       5.1 |       1.9 |    3.8 |    3.8 |      5.2 | Fasola     |
| 13868 | Boleslaw   | Kozlowski       |        1.2 |    2.1 |         1.3 |       4.2 |       5.6 |    3.8 |    1.9 |      4.1 | Kot        |
| 13869 | Feliks     | Osika           |          5 |    5.6 |         2.1 |       4.3 |       5.9 |    1.5 |    2.1 |      4.9 | Koza       |
| 13870 | Iwona      | Bohosiewicz     |        4.3 |    1.6 |         3.4 |       2.3 |         1 |    2.8 |    1.2 |      3.5 | Rusek      |
| 13871 | Marcin     | Szczesny        |        4.9 |    1.4 |         2.7 |       3.6 |       2.2 |    5.3 |    2.1 |      2.8 | Drobson    |
| 13872 | Jan        | Zagrodzki       |        4.3 |    5.3 |         2.3 |       2.4 |       4.2 |    2.1 |    1.4 |      2.8 | sliwa      |
| 13873 | Piotr      | Ospala          |        5.4 |    3.9 |         1.9 |       2.2 |       2.3 |    1.8 |    4.8 |        6 | Broda      |
| 13874 | Renata     | Siwy            |        4.7 |    5.2 |         3.1 |       5.2 |         4 |    3.9 |    2.6 |      5.6 | sliwa      |
| 13875 | Maciej     | Izdebska        |        1.7 |    4.9 |         3.4 |       1.2 |       2.4 |    4.6 |    4.7 |      2.2 | Czech      |
| 13876 | Katarzyna  | Sliwka          |        1.3 |    4.9 |         3.9 |       1.4 |       5.9 |    3.3 |    2.7 |        5 | Grodecki   |
| 13877 | Maciej     | Nowak           |        5.5 |      2 |         3.2 |       5.5 |       5.4 |    1.7 |    4.1 |      2.8 | Stalone    |
| 13878 | Wawrzyniec | Czarnek         |        2.9 |    4.4 |         2.3 |       4.8 |       3.8 |    2.6 |    4.9 |      2.3 | Baran      |
| 13879 | Agata      | Kozlowski       |        3.8 |    2.8 |         3.8 |       2.8 |       1.1 |    3.9 |    3.7 |      2.6 | Niemiec    |
| 13880 | Marek      | Szczesny        |        2.5 |    4.9 |         1.7 |       2.1 |       2.3 |    3.9 |    3.2 |      5.1 | Kowal      |
| 13881 | Ewa        | Kluta           |        5.2 |    1.6 |           4 |       4.5 |       5.7 |    5.5 |    1.3 |      2.5 | Czeresnia  |
| 13882 | Iwona      | Ploszaj         |        2.1 |    3.4 |         3.1 |       5.6 |       3.6 |    3.5 |    3.9 |      1.4 | Jakubowski |
| 13883 | Marcelina  | Kamisinski      |        4.8 |    3.8 |         3.5 |       1.1 |       1.2 |    4.5 |    2.6 |      1.6 | Zdanowicz  |
| 13884 | Iwona      | Marek           |        4.8 |    4.2 |         5.4 |       5.7 |       3.7 |    4.8 |    2.3 |      1.8 | Kowal      |
| 13885 | Monika     | Gasior          |        2.5 |    1.3 |         2.1 |       5.8 |       3.6 |    4.7 |    5.7 |        3 | Czech      |
| 13886 | Monika     | Nowak           |        2.8 |    5.6 |         4.3 |       2.6 |       3.7 |    4.7 |    4.4 |      2.1 | Grodecki   |
| 13887 | Iwona      | Zimirski        |        2.4 |    4.9 |         2.5 |       1.6 |       2.5 |    4.8 |    2.9 |      4.4 | Baran      |
| 13888 | Miroslawa  | Szostek         |        1.7 |    5.1 |         4.5 |       2.2 |       2.9 |    2.6 |    5.4 |      2.9 | Kret       |
| 13889 | Barbara    | zelazny         |        3.8 |      1 |         2.4 |       3.2 |       3.6 |    3.4 |    3.6 |      5.5 | Koza       |
| 13890 | Janusz     | Siwy            |        1.4 |    4.2 |         4.8 |       3.6 |         6 |      5 |    2.9 |        6 | Pies       |
| 13891 | Boleslaw   | Balwierz        |        1.8 |      1 |         4.9 |       1.2 |       5.1 |      5 |    2.3 |        4 | Grodecki   |
| 13892 | Piotr      | Siemieszko      |          4 |    2.8 |         1.3 |       1.7 |       1.4 |    5.7 |    4.6 |      1.1 | Koza       |
| 13893 | Roman      | Mika            |        5.4 |    5.6 |         3.8 |       1.6 |       2.1 |    5.5 |      5 |      5.7 | Pala       |
| 13894 | Pawel      | Wnek            |        5.2 |    4.6 |         4.8 |       5.1 |       3.3 |    1.4 |    5.5 |      5.3 | Kowal      |
